Replicate,Harvest,Fauna Treatment,"Litter type (B, E, NL)",Soil depth (cm),Fraction,bulk density (g/cm3),volume (cm3),fraction %,g of soil in total section,Delta 13C,% Carbon,mgC/g soil,Carbon f value,litter derived C (mg/ g soil),g C in the soil in total section  ,mg litter-derived C in total section,Delta 15 N,% Nitrogen,mgN/g soil,Nitrogen f value,litter derived N (mg/ g soil),g N in the soil in total section  ,mg litter-derived N in total section,13C atom%,15 atom%
R4,H1,F,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-7.97124,4.266763887,6.337171686,0.002993733,0.0189718,5.510822101,16.49792963,50.5921,0.422542717,0.627577671,0.004406373,0.002765341,0.545743286,2.404748275,1.096922318,0.384764034
R4,H1,NF,E,5-Feb,CLAY,0.922677204,942.4777961,14.85240771,129.15695,-4.31973,4.266763887,6.337171686,0.004710233,0.029849554,5.510822101,25.95725546,39.2972,0.422542717,0.627577671,0.00341448,0.002142852,0.545743286,1.863429624,1.100915475,0.380643187
R1,H1,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.39035313,12.22299019,,,,,-0.621,1.365339613,0.60928505,,,,,1.085465099,0.366076644
R1,H1,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.39035313,12.22299019,,,,,-1.46459,1.365339613,0.60928505,,,,,1.085465099,0.365768764
R1,H1,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-11.4327,27.39035313,12.22299019,0.003290721,0.040222454,5.3894559,17.73519737,106.184,1.365339613,0.60928505,0.010360042,0.006312219,0.268650703,2.783232607,1.093136695,0.405041291
R1,H1,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-5.76942,27.39035313,12.22299019,0.005947784,0.0726997,5.3894559,32.05531738,230.214,1.365339613,0.60928505,0.022470892,0.013691178,0.268650703,6.036820808,1.099330186,0.450251742
R2,H1,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.39035313,12.22299019,,,,,-0.816475,1.365339613,0.60928505,,,,,1.085465099,0.366005303
R2,H1,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.39035313,12.22299019,,,,,-0.952373,1.365339613,0.60928505,,,,,1.085465099,0.365955705
R2,H1,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-12.76,27.39035313,12.22299019,0.002667987,0.032610779,5.3894559,14.37899826,125.263,1.365339613,0.60928505,0.012229427,0.007451207,0.268650703,3.285444056,1.091685018,0.411998492
R2,H1,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,1.97764,27.39035313,12.22299019,0.009582501,0.117126813,5.3894559,51.64446519,196.17,1.365339613,0.60928505,0.019120176,0.011649638,0.268650703,5.136648862,1.10780129,0.437846375
R3,H1,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.39035313,12.22299019,,,,,-0.725865,1.365339613,0.60928505,,,,,1.085465099,0.366038372
R3,H1,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.39035313,12.22299019,,,,,-1.60301,1.365339613,0.60928505,,,,,1.085465099,0.365718246
R3,H1,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-6.1996,27.39035313,12.22299019,0.005745954,0.070232745,5.3894559,30.96756802,183.394,1.365339613,0.60928505,0.017859371,0.010881448,0.268650703,4.797932675,1.098859759,0.433190103
R3,H1,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,3.31669,27.39035313,12.22299019,0.010210748,0.124805871,5.3894559,55.03037524,299.468,1.365339613,0.60928505,0.029200986,0.017791724,0.268650703,7.844865324,1.109265341,0.475477818
R4,H1,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.39035313,12.22299019,,,,,1.916,1.365339613,0.60928505,,,,,1.085465099,0.367002547
R4,H1,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.39035313,12.22299019,,,,,-1.28528,1.365339613,0.60928505,,,,,1.085465099,0.365834206
R4,H1,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,9.5356,27.39035313,12.22299019,0.013128497,0.160469492,5.3894559,70.75545639,397.73,1.365339613,0.60928505,0.03840325,0.023398526,0.268650703,10.31706005,1.116064221,0.511248255
